Aug 28, 2017 7:45:35 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Aug 28, 2017 7:45:35 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Aug 28, 2017 7:45:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/distribution-karaf-0.5.4-Boron-SR4/lock
Aug 28, 2017 7:45:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Aug 28, 2017 7:45:35 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-08-28 07:47:16,723 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-broker-local 1.4.4-Boron-SR4
2017-08-28 07:47:16,723 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-binding-dom-adapter 2.1.4-Boron-SR4
2017-08-28 07:47:16,723 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-binding-runtime 2.1.4-Boron-SR4
2017-08-28 07:47:16,723 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-yangtools-yang-data 1.0.4-Boron-SR4
2017-08-28 07:47:16,724 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-yangtools-yang-parser 1.0.4-Boron-SR4
2017-08-28 07:47:16,785 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-binding-api 2.1.4-Boron-SR4
2017-08-28 07:47:16,786 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-common 2.1.4-Boron-SR4
2017-08-28 07:47:16,793 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-dom-api 2.1.4-Boron-SR4
2017-08-28 07:47:16,802 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-common 1.4.4-Boron-SR4
2017-08-28 07:47:16,802 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-api 0.5.4-Boron-SR4
2017-08-28 07:47:16,919 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-startup 0.5.4-Boron-SR4
2017-08-28 07:47:16,924 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-persister 0.5.4-Boron-SR4
2017-08-28 07:47:16,924 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-core 0.5.4-Boron-SR4
2017-08-28 07:47:16,935 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-manager 0.5.4-Boron-SR4
2017-08-28 07:47:17,004 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-netty 0.5.4-Boron-SR4
2017-08-28 07:47:17,004 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-netty-config-api 0.5.4-Boron-SR4
2017-08-28 07:47:17,005 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-netty 4.0.43.Final
2017-08-28 07:47:17,048 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-lmax 3.3.4
2017-08-28 07:47:17,051 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-dom 2.1.4-Boron-SR4
2017-08-28 07:47:17,051 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-dom-broker 2.1.4-Boron-SR4
2017-08-28 07:47:17,057 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-eos-dom 2.1.4-Boron-SR4
2017-08-28 07:47:17,057 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-eos-common 2.1.4-Boron-SR4
2017-08-28 07:47:17,065 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-eos-binding 2.1.4-Boron-SR4
2017-08-28 07:47:17,071 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-singleton-dom 2.1.4-Boron-SR4
2017-08-28 07:47:17,071 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-singleton-common 2.1.4-Boron-SR4
2017-08-28 07:47:17,123 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-clustering-commons 1.4.4-Boron-SR4
2017-08-28 07:47:17,123 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-system 2.4.7
2017-08-28 07:47:17,124 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-scala 2.11
2017-08-28 07:47:17,192 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-persistence 2.4.7
2017-08-28 07:47:17,192 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-leveldb 0.7
2017-08-28 07:47:17,504 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-clustering 2.4.7
2017-08-28 07:47:17,576 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-distributed-datastore 1.4.4-Boron-SR4
2017-08-28 07:47:17,612 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature war 3.0.7
2017-08-28 07:47:17,612 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature http 3.0.7
2017-08-28 07:47:17,612 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature pax-http 3.2.9
2017-08-28 07:47:17,612 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature pax-jetty 8.1.19.v20160209
2017-08-28 07:47:17,682 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature pax-war 3.2.9
2017-08-28 07:47:17,682 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature pax-http-whiteboard 3.2.9
2017-08-28 07:47:18,356 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-neutron-transcriber 0.7.4-Boron-SR4
2017-08-28 07:47:18,373 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-netvirt-impl 0.3.4-Boron-SR4
2017-08-28 07:47:18,373 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-southbound-impl 1.3.4-Boron-SR4
2017-08-28 07:47:18,373 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-southbound-api 1.3.4-Boron-SR4
2017-08-28 07:47:18,377 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-library 1.3.4-Boron-SR4
2017-08-28 07:47:18,377 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-aaa-cert 0.4.4-Boron-SR4
2017-08-28 07:47:18,377 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-aaa-encryption-service 0.4.4-Boron-SR4
2017-08-28 07:47:18,416 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-hwvtepsouthbound 1.3.4-Boron-SR4
2017-08-28 07:47:18,416 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-ovsdb-hwvtepsouthbound-api 1.3.4-Boron-SR4
2017-08-28 07:47:18,426 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-netvirt-api 0.3.4-Boron-SR4
2017-08-28 07:47:18,426 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-nsf-model 0.3.4-Boron-SR4
2017-08-28 07:47:18,482 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-nxm-extensions 0.3.4-Boron-SR4
2017-08-28 07:47:18,483 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-southbound 0.3.4-Boron-SR4
2017-08-28 07:47:18,483 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowjava-protocol 0.8.4-Boron-SR4
2017-08-28 07:47:18,634 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-genius-api 0.1.4-Boron-SR4
2017-08-28 07:47:18,634 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-infrautils-counters 1.0.4-Boron-SR4
2017-08-28 07:47:18,726 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-flow-services 0.3.4-Boron-SR4
2017-08-28 07:47:18,726 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-openflowplugin-app-config-pusher 0.3.4-Boron-SR4
