Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/distribution-karaf-0.5.3-Boron-SR3/lock
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-08-23 07:27:25,350 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.apache.karaf.jaas.modules/3.0.7 is waiting for namespace handlers [http://karaf.apache.org/xmlns/jaas/v1.0.0]
2017-08-23 07:27:25,780 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Starting JMX OSGi agent
2017-08-23 07:27:25,816 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering MBean with ObjectName [osgi.core:service=permissionadmin,version=1.2,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a] for service with service.id [2]
2017-08-23 07:27:25,817 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a] for service with service.id [37]
2017-08-23 07:27:25,862 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=wiringState,version=1.1,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a
2017-08-23 07:27:25,863 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=packageState,version=1.5,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a
2017-08-23 07:27:25,863 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=bundleState,version=1.7,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a
2017-08-23 07:27:25,866 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.service.permissionadmin.PermissionAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:service=permissionadmin,version=1.2,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a
2017-08-23 07:27:25,866 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.compendium:service=cm,version=1.3,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a
2017-08-23 07:27:25,867 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=serviceState,version=1.7,framework=org.eclipse.osgi,uuid=10ea3e81-d487-0017-1ba3-eb7eb454076a
